level_id,attempts,users,attempt_win_rate,first_attempt_win_rate,avg_attempt,median_attempt,avg_playtime,revive_rate,avg_unsolved_items,avg_move,failed_attempts,retries_after_fail,retry_after_fail_rate,users_reached,users_reached_next,dropoff_rate,is_priority
485,77,75,0.974,0.973,1.06,1.0,184.79,0.3896,0.26,45.79,2,2,1.0,103.0,102.0,0.0097,False
486,86,75,0.8721,0.8649,1.17,1.0,153.34,0.0698,1.15,36.13,11,11,1.0,102.0,102.0,0.0,False
487,199,77,0.392,0.4478,2.8,2.0,178.06,0.5879,7.51,37.35,121,120,0.9917,102.0,101.0,0.0098,False
488,144,74,0.5139,0.5,2.09,2.0,164.32,0.5972,4.72,28.66,70,69,0.9857,101.0,101.0,0.0,False
489,149,73,0.5034,0.4833,2.6,2.0,193.81,0.5906,5.14,36.63,74,74,1.0,101.0,101.0,0.0,False
490,112,71,0.6429,0.7424,1.9,1.0,155.71,0.5625,3.62,33.51,40,40,1.0,101.0,97.0,0.0396,False
491,84,70,0.8571,0.8714,1.33,1.0,124.19,0.2262,1.42,37.19,12,12,1.0,,,,False
492,152,71,0.4803,0.375,2.24,2.0,101.68,0.3882,4.25,19.53,79,79,1.0,,,,False
493,91,71,0.7912,0.8182,1.4,1.0,152.32,0.5055,2.12,33.38,19,19,1.0,100.0,100.0,0.0,False
494,226,71,0.3142,0.4603,3.87,3.0,183.8,0.6239,7.92,36.43,155,151,0.9742,100.0,96.0,0.04,False
495,141,66,0.4681,0.4923,2.45,2.0,170.03,0.3475,5.94,31.06,75,73,0.9733,,,,False
496,113,63,0.5575,0.4912,1.91,1.0,117.66,0.5575,5.16,32.21,50,49,0.98,,,,False
497,83,62,0.747,0.8305,1.58,1.0,191.16,0.494,2.34,41.71,21,20,0.9524,,,,False
498,70,60,0.8714,0.8947,1.3,1.0,263.2,0.6429,1.34,42.96,9,9,1.0,,,,False
499,148,63,0.4324,0.4561,2.67,2.0,167.32,0.7027,5.7,36.93,84,83,0.9881,,,,False
500,102,61,0.6176,0.5439,1.59,1.0,115.71,0.6078,3.61,25.87,39,39,1.0,,,,False
